Status,Reason,URL
downloaded,success,https,//cdn.hyperdev.com/drag-in-files.svg
downloaded,success,https,//cdn.hyperdev.com/click-me.svg
downloaded,success,https,//cdn.hyperdev.com/paste-me.svg
failed,missing_url,
failed,missing_url,
failed,missing_url,
downloaded,success,https,//cdn.glitch.com/cad20829-cd7f-405a-95e8-5e17b206a304%2Fillustration.svg
failed,missing_url,
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Olivia%20Lee_The%20Consequences%20of%20Thinking%20and%20Feeling.pdf
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/banner.jpg
failed,503,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Olivia-Lee_Loading-Loop-1.mp4
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/OliviaLee-DP-1.png
failed,503,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Olivia-Lee_FBC.pdf
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Lee-Olivia-RecordingStudies.pdf
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Lee-Olivia-RecordingFinal.pdf
failed,missing_url,
failed,missing_url,
failed,missing_url,
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Olivia-Lee_FBC.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Lee-Olivia-RecordingStudies.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Lee-Olivia-RecordingFinal.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/hopr-screengrab.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/cotaf-screengrab.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/meam-screengrab.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/dd-screengrab.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/mozia-screengrab.png
downloaded,success,https,//cdn.glitch.global/2decb767-8051-4237-974a-927409aa4233/Semi-Coder-Regular.otf
